campaign_name,type,target_audience,start_date,end_date,budget,revenue,conversion_rate,CTR,CPC,duration_days
Virtual real-time architecture,email,B2B,2023-06-06,2023-12-25,27675.42,672667.53,0.1,0.1,9.999999999996387,202
Open-source 6thgeneration secured line,podcast,B2B,2023-03-07,2023-09-30,12480.75,847778.95,0.82,0.82,1.219512195121832,207
Reduced leadingedge architecture,email,B2C,2023-04-23,2024-06-06,84119.33,816593.62,0.64,0.64,1.5624999999999711,410
Fully-configurable 24/7 knowledgebase,webinar,B2C,2022-09-30,2024-01-20,6658.22,273952.77,0.3,0.3,3.333333333331665,477
Organic 4thgeneration neural-net,podcast,B2B,2022-10-29,2024-04-16,53826.21,683796.77,0.2,0.2,4.9999999999995355,535
Centralized 3rdgeneration budgetary management,webinar,B2C,2023-07-26,2023-08-11,85125.0,364648.39,0.14,0.14,7.142857142856542,16
Persevering web-enabled workforce,social media,B2C,2023-06-23,2024-01-03,79220.8,29575.48,0.3,0.3,3.3333333333331927,194
Multi-channeled high-level interface,social media,B2C,2023-04-06,2023-08-15,46560.5,489015.27,0.85,0.85,1.1764705882352646,131
Re-contextualized high-level project,social media,B2C,2023-07-13,2024-04-22,56850.62,383111.17,0.98,0.98,1.020408163265288,284
Right-sized tangible product,email,B2B,2022-11-09,2024-02-16,94856.15,283711.16,0.23,0.23,4.3478260869563226,464
Diverse leadingedge initiative,email,B2B,2022-10-17,2023-08-16,93383.63,749909.68,0.76,0.76,1.315789473684192,303
Intuitive transitional hardware,social media,B2B,2023-02-25,2023-09-15,26183.57,429790.1,0.26,0.26,3.8461538461532805,202
Diverse 6thgeneration superstructure,email,B2B,2022-08-05,2024-01-05,99128.36,852334.6,0.78,0.78,1.2820512820512653,518
Enhanced 4thgeneration hierarchy,webinar,B2B,2022-08-06,2024-04-17,80647.64,872159.47,0.81,0.81,1.234567901234549,620
Function-based systematic emulation,social media,B2B,2023-03-02,2024-07-12,30883.42,873342.13,0.37,0.37,2.7027027027024664,498
Managed asymmetric array,webinar,B2C,2022-10-14,2024-07-06,24998.61,71257.79,0.39,0.39,2.5641025641023005,631
Enterprise-wide mission-critical utilization,social media,B2B,2022-09-29,2023-09-05,64119.81,211910.58,0.93,0.93,1.075268817204283,341
Adaptive clear-thinking methodology,social media,B2C,2023-05-16,2024-03-21,60594.85,850376.61,0.82,0.82,1.2195121951219268,310
Networked zero administration model,webinar,B2C,2022-11-01,2023-11-06,22411.36,102385.82,0.4,0.4,2.499999999999721,370
Seamless well-modulated open architecture,webinar,B2B,2022-08-28,2023-10-09,47906.32,871834.53,0.45,0.45,2.222222222222119,407
Exclusive radical installation,email,B2C,2022-08-09,2023-10-10,28548.76,181056.53,0.6,0.6,1.6666666666665695,427
Intuitive bottom-line algorithm,email,B2B,2022-08-27,2024-05-06,44251.43,846562.3,0.16,0.16,6.249999999999117,618
Compatible stable extranet,podcast,B2C,2022-12-24,2023-11-13,32895.11,136858.12,0.1,0.1,9.999999999996959,324
Progressive secondary synergy,social media,B2B,2022-11-08,2024-04-06,55985.9,505421.93,0.59,0.59,1.6949152542372372,515
Sharable next generation ability,webinar,B2C,2022-12-15,2024-02-19,23212.27,830178.2,0.49,0.49,2.040816326530433,431
Devolved value-added support,email,B2B,2023-07-02,2024-02-13,42051.6,287690.5,0.25,0.25,3.9999999999996194,226
Front-line full-range matrices,email,B2B,2022-08-04,2023-08-10,79829.52,472828.97,0.7,0.7,1.4285714285714033,371
Grass-roots foreground firmware,podcast,B2C,2023-04-26,2024-04-21,96169.66,455474.93,0.45,0.45,2.2222222222221713,361
Implemented reciprocal monitoring,email,B2C,2023-02-26,2024-06-19,72722.22,619138.31,0.1,0.1,9.999999999998623,479
Reverse-engineered foreground approach,webinar,B2C,2023-02-22,2024-02-18,52125.2,27754.76,0.8,0.8,1.24999999999997,361
Open-source maximized projection,webinar,B2B,2023-03-23,2024-03-22,77340.13,347402.29,0.74,0.74,1.3513513513513278,365
Intuitive object-oriented moratorium,webinar,B2C,2022-12-18,2023-08-28,97763.51,244772.45,0.7,0.7,1.4285714285714077,253
Virtual 4thgeneration Graphical User Interface,social media,B2B,2023-07-27,2024-03-27,15463.29,963251.51,0.6,0.6,1.666666666666487,244
Reactive multi-tasking extranet,email,B2B,2022-12-26,2023-08-25,51210.38,536138.69,0.83,0.83,1.2048192771084056,242
Enhanced heuristic archive,email,B2B,2023-05-05,2023-09-26,16066.41,508865.73,0.3,0.3,3.3333333333326416,144
Stand-alone bandwidth-monitored capability,social media,B2C,2022-10-10,2024-03-29,89383.19,828963.15,0.77,0.77,1.2987012987012798,536
Open-source coherent archive,podcast,B2B,2022-08-18,2024-06-11,46558.0,315646.86,0.4,0.4,2.4999999999998654,663
Future-proofed coherent core,social media,B2C,2022-09-14,2024-05-08,62178.3,317338.48,0.2,0.2,4.999999999999598,602
Decentralized radical emulation,webinar,B2B,2022-09-18,2024-04-23,20201.5,335385.42,0.89,0.89,1.123595505617915,583
Team-oriented content-based data-warehouse,social media,B2C,2022-11-12,2024-01-15,43643.99,470023.84,0.55,0.55,1.8181818181817422,429
Expanded tangible capacity,email,B2B,2023-06-26,2024-05-07,20647.17,759838.76,0.78,0.78,1.2820512820512024,316
Secured methodical system engine,webinar,B2C,2023-05-30,2024-05-08,29781.93,567832.12,0.46,0.46,2.1739130434781018,344
Synergistic well-modulated conglomeration,podcast,B2C,2023-04-23,2023-11-23,89003.41,643537.76,0.18,0.18,5.555555555555209,214
Programmable dedicated ability,podcast,B2B,2022-10-18,2024-03-26,34838.17,286374.76,0.22,0.22,4.545454545453952,525
Public-key dynamic synergy,webinar,B2B,2023-03-03,2023-11-16,8209.8,725706.76,0.78,0.78,1.2820512820510819,258
Synergistic actuating benchmark,email,B2C,2022-12-14,2023-08-20,13024.35,882368.6,0.99,0.99,1.0101010101009318,249
Optional client-driven approach,webinar,B2C,2022-12-30,2024-07-02,9180.95,93102.44,0.97,0.97,1.0309278350514306,550
Cloned exuding matrices,email,B2C,2023-06-03,2024-07-16,46215.77,326486.31,0.63,0.63,1.5873015873015328,409
Expanded zero tolerance adapter,email,B2C,2022-09-19,2024-05-07,80474.62,394021.52,0.7,0.7,1.4285714285714033,596
Persistent incremental installation,email,B2C,2022-12-22,2024-01-27,12789.78,516246.2,0.4,0.4,2.499999999999511,401
Integrated full-range encoding,email,B2B,2023-06-18,2024-03-01,42818.39,778282.87,0.14,0.14,7.1428571428559495,257
Total system-worthy framework,email,B2C,2023-01-16,2023-08-10,77090.58,818026.22,0.1,0.1,9.999999999998701,206
Persistent disintermediate artificial intelligence,email,B2B,2023-01-23,2023-08-21,10659.15,506589.58,0.84,0.84,1.1904761904760575,210
Self-enabling explicit interface,email,B2B,2023-01-23,2024-06-19,71211.28,628222.4,0.94,0.94,1.0638297872340265,513
User-centric responsive software,email,B2B,2022-09-24,2023-08-04,55105.95,980593.34,0.65,0.65,1.5384615384614955,314
Enterprise-wide bottom-line forecast,email,B2C,2023-01-27,2024-01-26,22701.3,89740.19,0.86,0.86,1.1627906976743592,364
Upgradable transitional productivity,social media,B2B,2022-12-25,2024-05-12,28460.11,593949.35,0.37,0.37,2.702702702702446,504
Assimilated asynchronous project,email,B2B,2023-03-30,2024-06-25,81474.69,116549.43,0.98,0.98,1.0204081632652933,453
Reverse-engineered 4thgeneration alliance,webinar,B2B,2022-10-10,2023-12-12,99406.41,485297.93,0.3,0.3,3.3333333333332216,428
Networked bi-directional help-desk,podcast,B2C,2023-03-23,2023-09-24,89764.52,346320.53,0.8,0.8,1.2499999999999825,185
Diverse exuding superstructure,webinar,B2B,2022-09-07,2023-11-04,11769.71,155142.36,0.24,0.24,4.166666666665192,423
Organized directional service-desk,webinar,B2B,2022-10-17,2024-05-11,44085.8,88806.24,0.71,0.71,1.4084507042253072,572
Balanced 24hour intranet,email,B2C,2022-09-15,2024-04-11,31712.22,523802.73,0.12,0.12,8.333333333331144,574
Reactive well-modulated portal,social media,B2B,2023-02-04,2023-09-02,34455.95,601996.12,0.6,0.6,1.6666666666665861,210
Realigned intangible application,email,B2B,2023-07-06,2024-01-24,31468.43,147390.21,0.48,0.48,2.0833333333331954,202
Front-line web-enabled orchestration,social media,B2C,2023-01-12,2024-06-13,89740.86,477285.33,0.21,0.21,4.761904761904509,518
Polarized upward-trending frame,webinar,B2B,2023-03-23,2024-05-23,6806.2,519790.34,0.78,0.78,1.2820512820510404,427
Persevering content-based archive,social media,B2B,2022-12-27,2024-01-04,21795.27,397630.37,0.89,0.89,1.1235955056179197,373
De-engineered content-based budgetary management,social media,B2B,2022-09-10,2023-10-06,29328.34,92788.7,0.47,0.47,2.127659574467931,391
Inverse well-modulated forecast,webinar,B2B,2023-07-22,2024-07-11,7632.49,782850.48,0.62,0.62,1.6129032258061107,355
Progressive web-enabled concept,webinar,B2B,2022-11-16,2024-05-17,46890.76,258942.95,0.64,0.64,1.562499999999948,548
Visionary 4thgeneration help-desk,webinar,B2C,2022-11-23,2024-05-26,81853.53,974972.63,0.17,0.17,5.882352941176047,550
Up-sized attitude-oriented task-force,social media,B2C,2023-07-02,2024-04-07,46635.4,692709.3,0.46,0.46,2.173913043478159,280
Sharable secondary migration,webinar,B2C,2023-04-04,2023-09-21,31531.6,551172.95,0.68,0.68,1.470588235294049,170
Quality-focused methodical policy,social media,B2C,2022-10-23,2023-10-10,51428.64,110819.1,0.28,0.28,3.571428571428323,352
Distributed multimedia encryption,webinar,B2B,2022-08-16,2024-01-22,83726.63,458296.26,0.13,0.13,7.6923076923069855,524
Switchable user-facing archive,webinar,B2C,2022-10-22,2024-06-11,85417.27,509606.8,0.74,0.74,1.35135135135133,598
Virtual bottom-line parallelism,email,B2C,2022-08-16,2023-09-05,44082.14,903002.29,0.49,0.49,2.0408163265305177,385
Customer-focused mobile Graphic Interface,webinar,B2C,2023-01-19,2023-11-21,61946.3,217755.18,0.85,0.85,1.1764705882352717,306
Networked asynchronous standardization,email,B2B,2023-06-06,2024-01-06,50168.89,610750.16,0.67,0.67,1.4925373134327915,214
Persevering coherent concept,social media,B2B,2022-09-15,2023-12-13,54331.15,992544.71,0.39,0.39,2.5641025641024426,454
Secured systemic groupware,email,B2C,2022-08-28,2023-10-17,72529.72,97176.72,0.24,0.24,4.166666666666427,415
Team-oriented motivating productivity,podcast,B2B,2022-09-21,2023-09-06,40881.17,689581.23,0.1,0.1,9.999999999997552,350
Seamless exuding model,webinar,B2B,2022-11-20,2023-08-05,68885.7,162090.83,0.21,0.21,4.761904761904432,258
Cross-platform bandwidth-monitored model,email,B2C,2023-02-23,2023-09-16,48358.0,507844.26,0.39,0.39,2.5641025641024284,205
Face-to-face high-level synergy,webinar,B2B,2022-08-15,2024-06-03,98289.74,811980.83,0.79,0.79,1.26582278481011,658
Compatible eco-centric access,social media,B2B,2022-08-24,2023-09-04,4016.62,773055.56,0.99,0.99,1.0101010101007561,376
Down-sized web-enabled data-warehouse,social media,B2B,2023-04-08,2024-06-03,41419.79,289139.49,0.35,0.35,2.85714285714266,422
Streamlined non-volatile projection,social media,B2B,2022-10-17,2024-01-19,52686.92,443069.55,0.28,0.28,3.571428571428329,459
Synergized client-driven algorithm,social media,B2C,2023-04-11,2023-12-05,16420.77,632069.31,0.73,0.73,1.369863013698516,238
Cross-platform composite matrix,webinar,B2C,2022-10-30,2024-02-25,46976.52,371431.14,0.85,0.85,1.1764705882352648,483
Networked background utilization,social media,B2C,2023-03-12,2024-05-19,91122.63,831243.27,0.7,0.7,1.4285714285714064,434
Quality-focused composite challenge,podcast,B2B,2022-12-01,2024-01-28,4855.98,649003.16,0.85,0.85,1.176470588235009,423
Enhanced asymmetric open system,social media,B2B,2023-04-08,2023-12-20,54503.83,79089.3,0.9,0.9,1.1111111111110885,256
Innovative hybrid time-frame,email,B2C,2022-08-12,2023-12-21,12098.23,270608.24,0.44,0.44,2.2727272727268457,496
Re-engineered intangible intranet,podcast,B2C,2023-03-06,2024-03-15,14419.22,108083.4,0.18,0.18,5.555555555553416,375
Multi-channeled zero administration software,email,B2B,2023-01-09,2023-10-17,59892.4,940283.84,0.66,0.66,1.5151515151514767,281
Universal national adapter,social media,B2C,2022-11-28,2024-07-05,5197.61,61121.6,0.78,0.78,1.2820512820509657,585
Centralized system-worthy knowledgebase,email,B2C,2022-09-16,2024-01-20,6310.87,845412.79,0.62,0.62,1.6129032258060394,491
Open-architected asymmetric time-frame,podcast,B2C,2023-03-25,2024-06-03,80612.13,112762.13,0.97,0.97,1.0309278350515332,436
Centralized leadingedge Local Area Network,webinar,B2B,2023-01-31,2023-09-27,80358.87,112718.32,0.64,0.64,1.5624999999999696,239
Organized needs-based conglomeration,social media,B2B,2022-10-19,2023-10-02,73855.23,215072.47,0.5,0.5,1.999999999999946,348
Optional secondary collaboration,podcast,B2C,2023-04-19,2024-02-28,63911.62,177445.17,0.49,0.49,2.040816326530547,315
Synchronized client-driven challenge,social media,B2B,2023-02-08,2023-08-22,50124.39,639517.42,0.22,0.22,4.545454545454133,195
Enterprise-wide zero administration Graphic Interface,podcast,B2C,2022-11-24,2024-05-11,38086.24,684590.46,0.71,0.71,1.4084507042253,534
Programmable local moratorium,podcast,B2C,2023-03-27,2023-08-15,48046.33,50534.85,0.45,0.45,2.2222222222221193,141
Networked systematic attitude,email,B2B,2022-11-01,2023-10-02,63808.2,275542.3,0.17,0.17,5.882352941175927,335
Pre-emptive solution-oriented standardization,email,B2B,2023-01-31,2023-12-24,26057.53,169915.72,0.32,0.32,3.124999999999625,327
Down-sized contextually-based strategy,social media,B2C,2022-12-07,2024-01-20,56381.6,492601.2,0.41,0.41,2.439024390243797,409
Reverse-engineered zero administration workforce,webinar,B2B,2022-10-11,2023-10-14,57815.1,962065.9,0.65,0.65,1.5384615384614975,368
Pre-emptive real-time database,webinar,B2B,2023-07-28,2023-09-11,75262.37,421847.27,0.7,0.7,1.4285714285714017,45
Business-focused foreground budgetary management,social media,B2B,2023-06-14,2023-12-10,43226.59,573462.79,0.53,0.53,1.886792452830106,179
Stand-alone multi-tasking methodology,podcast,B2C,2022-11-02,2024-05-03,84506.27,375663.38,0.63,0.63,1.5873015873015577,548
Proactive eco-centric process improvement,social media,B2B,2023-01-08,2023-12-27,36457.88,905182.53,0.73,0.73,1.3698630136985788,353
Digitized human-resource knowledge user,podcast,B2B,2023-02-04,2024-01-25,10038.96,911686.87,0.7,0.7,1.4285714285712252,355
Ergonomic next generation hub,social media,B2C,2022-12-18,2024-01-27,27079.85,784636.2,0.3,0.3,3.333333333332923,405
Realigned radical hardware,webinar,B2B,2022-11-03,2024-07-12,34512.86,999712.49,0.87,0.87,1.1494252873562836,617
Grass-roots national approach,email,B2B,2022-08-29,2024-03-21,16063.49,868083.16,0.69,0.69,1.44927536231871,570
Synergistic mobile task-force,social media,B2B,2022-11-02,2023-11-20,61343.2,943514.25,0.73,0.73,1.3698630136985996,383
Customer-focused fault-tolerant help-desk,podcast,B2B,2022-10-08,2023-12-25,39585.98,889037.24,0.99,0.99,1.0101010101009844,443
Face-to-face 6thgeneration portal,social media,B2B,2023-05-08,2023-09-05,99535.21,142678.88,0.15,0.15,6.66666666666622,120
Ameliorated encompassing capacity,webinar,B2B,2023-02-19,2024-07-28,44466.83,504690.83,0.31,0.31,3.225806451612669,525
Digitized optimizing capability,podcast,B2C,2022-08-25,2023-10-12,70841.82,406913.89,0.76,0.76,1.3157894736841862,413
Triple-buffered zero tolerance circuit,podcast,B2C,2023-04-27,2024-03-18,62752.63,307410.29,0.32,0.32,3.124999999999844,326
Open-source background firmware,email,B2C,2023-07-04,2024-04-09,97748.2,543371.38,0.96,0.96,1.0416666666666554,280
Expanded global matrices,webinar,B2B,2022-11-28,2024-04-16,67048.32,246285.96,0.42,0.42,2.3809523809522966,505
Organized regional implementation,webinar,B2C,2023-02-13,2023-12-31,34303.92,420804.86,0.48,0.48,2.083333333333207,321
Realigned stable parallelism,webinar,B2B,2023-03-31,2024-01-18,52871.17,611779.7,0.53,0.53,1.8867924528301212,293
Networked executive knowledgebase,email,B2B,2022-10-18,2023-08-19,53678.65,129992.9,0.24,0.24,4.166666666666343,305
Multi-tiered neutral standardization,webinar,B2C,2023-05-09,2023-11-26,21921.72,721273.96,0.55,0.55,1.8181818181816671,201
Virtual cohesive orchestration,email,B2C,2023-03-11,2023-08-21,98706.34,499658.4,0.92,0.92,1.0869565217391184,163
Progressive 4thgeneration policy,webinar,B2C,2022-10-06,2024-04-20,16290.7,172899.7,0.99,0.99,1.0101010101009473,562
Monitored impactful installation,webinar,B2B,2023-07-28,2023-11-25,24936.91,541332.72,0.37,0.37,2.70270270270241,120
Automated responsive initiative,podcast,B2B,2022-08-30,2024-05-12,20401.62,875354.92,0.28,0.28,3.571428571427946,621
Function-based grid-enabled conglomeration,email,B2B,2022-12-06,2024-05-03,33675.46,203504.87,0.89,0.89,1.12359550561794,514
Polarized dynamic analyzer,podcast,B2C,2023-06-27,2024-07-26,87618.4,274321.91,0.5,0.5,1.9999999999999545,395
Centralized methodical alliance,podcast,B2C,2023-07-19,2024-02-11,33524.69,970610.35,0.19,0.19,5.263157894736015,207
Visionary directional open architecture,webinar,B2C,2023-05-02,2024-05-29,86623.59,107133.96,0.23,0.23,4.347826086956303,393
Reduced static functionalities,social media,B2B,2023-03-09,2024-01-08,8473.58,840891.99,0.93,0.93,1.0752688172041645,305
Sharable upward-trending initiative,social media,B2C,2022-10-23,2024-04-09,20951.3,994306.41,0.24,0.24,4.166666666665837,534
Front-line eco-centric open system,social media,B2B,2023-06-16,2024-07-06,36331.8,622639.37,0.76,0.76,1.3157894736841629,386
Managed bandwidth-monitored complexity,email,B2B,2023-03-21,2024-04-04,19401.94,617007.9,0.25,0.25,3.999999999999175,380
Re-engineered non-volatile algorithm,webinar,B2B,2023-03-04,2023-11-06,59532.42,773688.33,0.9,0.9,1.1111111111110905,247
Integrated secondary migration,webinar,B2C,2023-01-04,2024-04-26,98089.92,522231.68,0.22,0.22,4.5454545454543345,478
Horizontal 6thgeneration model,webinar,B2C,2022-11-19,2023-10-29,16308.37,511344.87,0.37,0.37,2.7027027027022545,344
Robust optimizing projection,email,B2B,2023-06-12,2023-11-06,36824.24,971476.94,0.42,0.42,2.3809523809522273,147
Right-sized scalable open architecture,webinar,B2B,2023-02-06,2023-12-24,62406.71,123917.89,0.67,0.67,1.4925373134328002,321
Optional mission-critical project,podcast,B2C,2022-08-06,2024-07-22,96713.47,995340.62,0.63,0.63,1.5873015873015612,716
Focused responsive open architecture,webinar,B2C,2022-11-09,2024-01-28,91490.92,38601.99,0.95,0.95,1.0526315789473564,445
Reverse-engineered static infrastructure,email,B2B,2023-07-26,2024-05-29,12246.32,987205.29,0.44,0.44,2.2727272727268506,308
Monitored grid-enabled productivity,podcast,B2C,2023-01-08,2024-06-07,29724.33,961419.64,0.27,0.27,3.703703703703242,516
Cross-group foreground ability,social media,B2B,2023-03-11,2023-11-27,32343.79,55043.59,0.5,0.5,1.9999999999998763,261
Switchable mobile toolset,podcast,B2B,2023-06-25,2024-04-16,59590.26,574709.76,0.99,0.99,1.010101010100993,296
Front-line mobile ability,podcast,B2C,2022-11-12,2023-08-18,77582.36,428175.9,0.47,0.47,2.127659574468027,279
Optional systemic adapter,email,B2B,2022-12-15,2023-12-16,23477.6,219063.7,0.34,0.34,2.9411764705878665,366
User-friendly responsive parallelism,email,B2C,2022-10-31,2024-05-08,9666.13,53039.92,0.65,0.65,1.5384615384612934,555
Mandatory grid-enabled throughput,email,B2C,2023-06-07,2023-08-06,63938.71,890569.79,0.49,0.49,2.040816326530547,60
Phased dynamic throughput,webinar,B2B,2023-07-07,2023-12-31,44248.38,313395.54,0.65,0.65,1.5384615384614848,177
Pre-emptive mobile Local Area Network,podcast,B2B,2023-05-07,2024-02-13,97083.41,378325.1,0.25,0.25,3.9999999999998352,282
Decentralized zero-defect superstructure,webinar,B2B,2022-10-18,2023-10-03,18706.92,554902.17,0.44,0.44,2.2727272727269963,350
Distributed grid-enabled focus group,webinar,B2B,2022-10-10,2023-10-12,92742.9,755802.41,0.33,0.33,3.0303030303029312,367
Monitored global leverage,email,B2B,2023-03-10,2024-04-26,14418.29,683612.91,0.67,0.67,1.4925373134326814,413
Secured exuding hardware,podcast,B2C,2022-08-17,2024-04-13,55644.28,764211.61,0.68,0.68,1.4705882352940787,605
Re-engineered content-based projection,podcast,B2B,2023-06-23,2024-05-03,49973.41,305097.18,0.4,0.4,2.4999999999998748,315
Compatible explicit hierarchy,webinar,B2B,2022-10-06,2024-05-27,52495.87,375558.47,0.56,0.56,1.7857142857142247,599
Reduced holistic groupware,podcast,B2C,2023-05-22,2023-08-13,22905.15,923669.92,0.2,0.2,4.9999999999989075,83
Organic national application,email,B2C,2023-03-01,2023-11-20,70871.65,193601.52,0.46,0.46,2.173913043478194,264
Configurable multi-tasking projection,social media,B2B,2022-12-07,2023-08-07,91280.14,764420.89,0.24,0.24,4.166666666666476,243
